UNIVERSIDAD,TIPO_UNI,PAIS_UNI,UNI
UNIVERSIDAD ANTONIO NARIÑO,Privada,Colombia,UNIVERSIDAD ANTONIO NARIÑO
UNIVERSIDAD AUTONOMA DE BUCARAMANGA (UNAB),Publica,Colombia,UNIVERSIDAD AUTONOMA DE BUCARAMANGA (UNAB)
UNIVERSIDAD CES,Privada,Colombia,UNIVERSIDAD CES
UNIVERSIDAD COOPERATIVA DE COLOMBIA,Privada,Colombia,UNIVERSIDAD COOPERATIVA DE COLOMBIA
UNIVERSIDAD DE ANTIOQUIA,Publica,Colombia,UNIVERSIDAD DE ANTIOQUIA
UNIVERSIDAD DE BOYACA,Publica,Colombia,UNIVERSIDAD DE BOYACA
UNIVERSIDAD DE CALDAS,Publica,Colombia,UNIVERSIDAD DE CALDAS
UNIVERSIDAD DE CARTAGENA,Publica,Colombia,UNIVERSIDAD DE CARTAGENA
UNIVERSIDAD DE LA SABANA,Privada,Colombia,UNIVERSIDAD DE LA SABANA
UNIVERSIDAD DE LAS AMERICAS,Privada,Colombia,UNIVERSIDAD DE LAS AMERICAS
UNIVERSIDAD DE LOS ANDES,Publica,Colombia,UNIVERSIDAD DE LOS ANDES
UNIVERSIDAD DE MANIZALES,Privada,Colombia,UNIVERSIDAD DE MANIZALES
UNIVERSIDAD DE PAMPLONA,Publica,Colombia,UNIVERSIDAD DE PAMPLONA
UNIVERSIDAD DE SAN PABLO T,Privada,Colombia,UNIVERSIDAD DE SAN PABLO T
UNIVERSIDAD DE SANTANDER - UDES,Privada,Colombia,UNIVERSIDAD DE SANTANDER - UDES
UNIVERSIDAD DE SUCRE,Publica,Colombia,UNIVERSIDAD DE SUCRE
UNIVERSIDAD DEL CAUCA,Publica,Colombia,UNIVERSIDAD DEL CAUCA
UNIVERSIDAD DEL MAGDALENA,Publica,Colombia,UNIVERSIDAD DEL MAGDALENA
UNIVERSIDAD DEL NORTE,Privada,Colombia,UNIVERSIDAD DEL NORTE DE BARRANQUILLA
UNIVERSIDAD DEL NORTE DE BARRANQUILLA,Privada,Colombia,UNIVERSIDAD DEL NORTE DE BARRANQUILLA
UNIVERSIDAD DEL NORTE SANTO TOMAS DE AQUINO,Privada,Colombia,UNIVERSIDAD DEL NORTE SANTO TOMAS DE AQUINO
UNIVERSIDAD DEL QUINDIO,Publica,Colombia,UNIVERSIDAD DEL QUINDIO
UNIVERSIDAD DEL ROSARIO,Publica,Colombia,UNIVERSIDAD DEL ROSARIO
UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM,Privada,Colombia,UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM
UNIVERSIDAD DEL TOLIMA,Publica,Colombia,UNIVERSIDAD DEL TOLIMA
UNIVERSIDAD DEL VALLE,Publica,Colombia,UNIVERSIDAD DEL VALLE
UNIVERSIDAD EL BOSQUE,Privada,Colombia,UNIVERSIDAD EL BOSQUE
UNIVERSIDAD EL BOSQUE - EX ESCUELA COLOMBIANA DE MEDICINA,Privada,Colombia,UNIVERSIDAD EL BOSQUE
UNIVERSIDAD ICESI,Privada,Colombia,UNIVERSIDAD ICESI
UNIVERSIDAD INDUSTRIAL DE SANTANDER,Publica,Colombia,UNIVERSIDAD INDUSTRIAL DE SANTANDER
UNIVERSIDAD LIBRE,Publica,Colombia,UNIVERSIDAD LIBRE
UNIVERSIDAD METROPOLITANA DE BARRANQUILLA,Privada,Colombia,UNIVERSIDAD METROPOLITANA DE BARRANQUILLA
UNIVERSIDAD MILITAR NUEVA GRANADA,Publica,Colombia,UNIVERSIDAD MILITAR NUEVA GRANADA
UNIVERSIDAD NACIONAL DE COLOMBIA,Publica,Colombia,UNIVERSIDAD NACIONAL DE COLOMBIA
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Publica,Colombia,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA
UNIVERSIDAD PRIVADA ABIERTA LATINOAMERICANA,Privada,Colombia,UNIVERSIDAD PRIVADA ABIERTA LATINOAMERICANA
UNIVERSIDAD REMINGTON,Privada,Colombia,UNIVERSIDAD REMINGTON
UNIVERSIDAD SANTIAGO DE CALI,Publica,Colombia,UNIVERSIDAD SANTIAGO DE CALI
UNIVERSIDAD SURCOLOMBIANA,Publica,Colombia,UNIVERSIDAD SURCOLOMBIANA
UNIVERSIDAD TECNOLOGICA DE PEREIRA,Publica,Colombia,UNIVERSIDAD TECNOLOGICA DE PEREIRA
UNIVERSIDAD UNIANDES,Privada,Colombia,UNIVERSIDAD UNIANDES
ESCUELA LATINOAMERICANA DE MEDICINA,Publica,Cuba,ESCUELA LATINOAMERICANA DE MEDICINA
UNIVERSIDAD DE CIENCIAS MEDICAS DE LA HABANA,Publica,Cuba,UNIVERSIDAD DE CIENCIAS MEDICAS DE LA HABANA
ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,Publica,Ecuador,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO
PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,Privada,Ecuador,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR
UNIVERSIDAD CATOLICA DE CUENCA,Privada,Ecuador,UNIVERSIDAD CATOLICA DE CUENCA
UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,Privada,Ecuador,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL
UNIVERSIDAD CENTRAL DEL ECUADOR,Publica,Ecuador,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES,Privada,Ecuador,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES
UNIVERSIDAD DE CIENCIAS EMPRESARIALES Y SOCIALES,Privada,Ecuador,UNIVERSIDAD DE CIENCIAS EMPRESARIALES Y SOCIALES
UNIVERSIDAD DE CUENCA,Publica,Ecuador,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE ESPECIALIDADES ESPIRITU SANTO,Privada,Ecuador,UNIVERSIDAD DE ESPECIALIDADES ESPIRITU SANTO
UNIVERSIDAD DE GUAYAQUIL,Publica,Ecuador,UNIVERSIDAD DE GUAYAQUIL
UNIVERSIDAD DEL AZUAY,Publica,Ecuador,UNIVERSIDAD DEL AZUAY
UNIVERSIDAD INTERNACIONAL DE LAS AMERICAS,Privada,Ecuador,UNIVERSIDAD INTERNACIONAL DE LAS AMERICAS
UNIVERSIDAD INTERNACIONAL DEL ECUADOR,Privada,Ecuador,UNIVERSIDAD INTERNACIONAL DEL ECUADOR
UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,Publica,Ecuador,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI
UNIVERSIDAD NACIONAL DE CHIMBORAZO,Publica,Ecuador,UNIVERSIDAD NACIONAL DE CHIMBORAZO
UNIVERSIDAD NACIONAL DE LOJA,Publica,Ecuador,UNIVERSIDAD NACIONAL DE LOJA
UNIVERSIDAD SAN FRANCISCO DE QUITO,Privada,Ecuador,UNIVERSIDAD SAN FRANCISCO DE QUITO
UNIVERSIDAD TECNICA DE AMBATO,Publica,Ecuador,UNIVERSIDAD TECNICA DE AMBATO
UNIVERSIDAD TECNICA DE MACHALA,Publica,Ecuador,UNIVERSIDAD TECNICA DE MACHALA
UNIVERSIDAD TECNICA DE MANABI,Publica,Ecuador,UNIVERSIDAD TECNICA DE MANABI
UNIVERSIDAD TECNICA PARTICULAR DE LOJA,Privada,Ecuador,UNIVERSIDAD TECNICA PARTICULAR DE LOJA
UNIVERSIDAD UTE,Privada,Ecuador,UNIVERSIDAD UTE
UNIVERSIDAD DE EL SALVADOR,Publica,El Salvador,UNIVERSIDAD DE EL SALVADOR
UNIVERSIDAD DE NAVARRA,Privada,España,UNIVERSIDAD DE NAVARRA
UNIVERISDAD NACIONAL AUTONOMA DE NICARAGUA,Publica,Nicaragua,UNIVERISDAD NACIONAL AUTONOMA DE NICARAGUA
