UNIVERSIDAD,UNI,CLASE_UNI,PAIS_UNI,CIUDAD_UNI,LOC,long,lat
UNIVERSIDAD DE LAS CIENCIAS DE LA SALUD HUGO CHAVEZ FRIAS,UNIVERSIDAD DE LAS CIENCIAS DE LA SALUD HUGO CHAVEZ FRIAS,Pública,Venezuela,Caracas,"Caracas, Venezuela",-66.9036,10.4806
UNIVERSIDAD ANTONIO NARIÑO,UNIVERSIDAD ANTONIO NARIÑO,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD NACIONAL ECOLOGICA,UNIVERSIDAD NACIONAL ECOLOGICA,Privada,Bolivia,Santa Cruz de la Sierra,"Santa Cruz de la Sierra, Bolivia",-63.1822,-17.7833
FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD NACIONAL SIGLO XX,UNIVERSIDAD NACIONAL SIGLO XX,Pública,Perú,Llallagua,"Llallagua, Perú",-67.1448,-17.231
UNIVERSIDAD DE ESPECIALIDADES ESPIRITU SANTO,UNIVERSIDAD DE ESPECIALIDADES ESPIRITU SANTO,Privada,Ecuador,Guayas,"Guayas, Ecuador",-79.9224,-2.1699
UNIVERSIDAD INTERNACIONAL DEL ECUADOR,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,Privada,Ecuador,Quito,"Quito, Ecuador",-78.4678,-0.1807
PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,Privada,Ecuador,Quito,"Quito, Ecuador",-78.4678,-0.1807
INSTITUTO UNIVERSITARIO FUNDACION H.A. BARCELO (LA RIOJA),BARCELO - LA RIOJA,Privada,Argentina,La Rioja,"La Rioja, Argentina",-66.85,-29.4112
UNIVERSIDAD CATOLICA BOLIVIANA SAN PABLO,UNIVERSIDAD CATOLICA BOLIVIANA SAN PABLO,Privada,Bolivia,La Paz,"La Paz, Bolivia",-68.15,-16.5
UNIVERSIDAD DE AQUINO BOLIVIA,UNIVERSIDAD DE AQUINO BOLIVIA,Privada,Bolivia,La Paz,"La Paz, Bolivia",-68.15,-16.5
UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO,UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO,Pública,Argentina,Comodoro Rivadavia,"Comodoro Rivadavia, Argentina",-67.5,-45.8667
UNIVERSIDAD NACIONAL DEL CHACO AUSTRAL,UNIVERSIDAD NACIONAL DEL CHACO AUSTRAL,Pública,Argentina,Chaco,"Chaco, Argentina",-58.9862,-27.4514
UNIVERSIDAD TECNICA PRIVADA COSMOS,UNIVERSIDAD TECNICA PRIVADA COSMOS,Privada,Bolivia,Cochabamba,"Cochabamba, Bolivia",-66.1568,-17.3898
UNIVERSIDAD DE ORIENTE,UNIVERSIDAD DE ORIENTE,Pública,Venezuela,Nueva Esparta,"Nueva Esparta, Venezuela",-63.85,11.0333
UNIVERSIDAD AUTONOMA TOMAS FRIAS,UNIVERSIDAD AUTONOMA TOMAS FRIAS,Pública,Bolivia,Potosí,"Potosí, Bolivia",-65.7531,-19.5833
UNIVERSIDAD CRISTIANA DE BOLIVIA,UNIVERSIDAD CRISTIANA DE BOLIVIA,Privada,Bolivia,Santa Cruz de la Sierra,"Santa Cruz de la Sierra, Bolivia",-63.1822,-17.7833
UNIVERSIDAD NACIONAL DEL COMAHUE,UNIVERSIDAD NACIONAL DEL COMAHUE,Pública,Argentina,Neuquén,"Neuquén, Argentina",-68.0597,-38.9517
UNIVERSIDAD LIBRE,UNIVERSIDAD LIBRE,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD PRIVADA NUESTRA SRA. DE LA PAZ,UNIVERSIDAD PRIVADA NUESTRA SRA. DE LA PAZ,Privada,Bolivia,La Paz,"La Paz, Bolivia",-68.15,-16.5
UNIVERSIDAD DEL NORTE SANTO TOMAS DE AQUINO,UNIVERSIDAD DEL NORTE SANTO TOMAS DE AQUINO,Privada,Argentina,Tucumán,"Tucumán, Argentina",-65.2226,-26.8241
UNIVERSIDAD DE CARTAGENA,UNIVERSIDAD DE CARTAGENA,Pública,Colombia,Cartagena,"Cartagena, Colombia",-75.5144,10.3997
UNIVERSIDAD DEL ROSARIO,UNIVERSIDAD DEL ROSARIO,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO,UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO,Pública,Argentina,Santiago del Estero,"Santiago del Estero, Argentina",-64.2615,-27.7955
UNIVERSIDAD DE PAMPLONA,UNIVERSIDAD DE PAMPLONA,Pública,Colombia,Pamplona,"Pamplona, Colombia",-72.6456,7.3733
UNIVERSIDAD AUTONOMA DE BUCARAMANGA (UNAB),UNIVERSIDAD AUTONOMA DE BUCARAMANGA (UNAB),Privada,Colombia,Bucaramanga,"Bucaramanga, Colombia",-73.1198,7.1254
UNIVERSIDAD DEL NORTE DE BARRANQUILLA,UNIVERSIDAD DEL NORTE DE BARRANQUILLA,Privada,Colombia,Barranquilla,"Barranquilla, Colombia",-74.7813,10.9685
UNIVERSIDAD TECNOLOGICA DE PEREIRA,UNIVERSIDAD TECNOLOGICA DE PEREIRA,Pública,Colombia,Pereira,"Pereira, Colombia",-75.6947,4.814
UNIVERSIDAD DEL TOLIMA,UNIVERSIDAD DEL TOLIMA,Pública,Colombia,Tolima,"Tolima, Colombia",-75.2322,4.4422
UNIVERSIDAD COOPERATIVA DE COLOMBIA,UNIVERSIDAD COOPERATIVA DE COLOMBIA,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD SANTIAGO DE CALI,UNIVERSIDAD SANTIAGO DE CALI,Privada,Colombia,Cali,"Cali, Colombia",-76.5319,3.4516
UNIVERSIDAD CATOLICA ARGENTINA,UNIVERSIDAD CATOLICA ARGENTINA,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD EL BOSQUE - EX ESCUELA COLOMBIANA DE MEDICINA,UNIVERSIDAD EL BOSQUE,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,Pública,Venezuela,Falcón,"Falcón, Venezuela",-69.6667,11.4
UNIVERSIDAD MAYOR DE SAN ANDRES,UNIVERSIDAD MAYOR DE SAN ANDRES,Pública,Bolivia,La Paz,"La Paz, Bolivia",-68.15,-16.5
UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE ANTIOQUIA,Pública,Colombia,Medellín,"Medellín, Colombia",-75.5812,6.2442
UNIVERSIDAD DE LOS ANDES,UNIVERSIDAD DE LOS ANDES,Privada,Chile,Santiago,"Santiago, Chile",-70.6693,-33.4489
UNIVERSIDAD INDUSTRIAL DE SANTANDER,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Pública,Colombia,Bucaramanga,"Bucaramanga, Colombia",-73.1198,7.1254
